Food_ID,Food_Name,C_type,Veg_Non,Calories,Protein,Carbs,Fat,sugar,sodium,cholesterol,potassium,saturated_fat
198,bread with tomatoes and olives,Italian,veg,200,6,30,8,5,300,0,200,2
199,lemon poppy seed cake,Dessert,veg,280,5,40,12,30,150,40,150,10
200,chocolate kaju katli,Dessert,veg,200,4,28,10,25,50,10,150,8
201,mix fruit laccha rabri tortilla crunch,Mexican,veg,250,6,35,12,25,100,20,200,8
202,pista chocolate & mandarin,Dessert,veg,220,4,32,10,25,100,20,180,8
203,banana and chia tea cake,Dessert,veg,230,5,30,12,25,150,40,200,10
204,chocolate and almond rum ball ,Dessert,veg,210,4,28,12,30,50,20,150,10
205,lemon sushi cake,Dessert,veg,280,5,40,10,30,100,30,150,8
206,chocolate doughnut,Dessert,veg,220,3,30,12,25,150,40,100,10
207,spiced almond banana jaggery cake,Dessert,veg,250,6,35,12,25,150,40,200,10
208,fennel scented sweet banana fritters,Dessert,veg,230,4,32,10,25,50,0,200,5
209,camel milk cake tart,Dessert,veg,240,5,34,12,25,150,40,200,10
210,quinoa coconut crumble custard,Dessert,veg,220,6,30,10,25,100,30,200,8
211,lamb barley pot,Healthy Food,non-veg,350,28,25,20,5,450,120,350,10
212,al hachi chicken,Indian,non-veg,300,25,20,18,3,450,80,300,5
213,berry parfait hazelnut white chocolate sable,Dessert,veg,250,6,35,12,25,100,30,150,10
214,badam papite ke kebab with pineapple salsa,Indian,non-veg,220,8,30,10,10,300,0,250,5
215,mixed vegetable soup,Healthy Food,veg,120,3,18,2,5,300,0,300,1
216,duo of chocolate and strawberry,Dessert,veg,200,4,28,10,25,50,20,100,8
217,mustard-parmesan whole roasted cauliflower,Healthy Food,veg,180,6,20,8,5,450,20,300,3
218,hassel back sweet potatoes,Healthy Food,veg,200,3,35,2,8,100,0,350,2
219,mother christmas cake,Dessert,veg,350,5,50,15,40,150,40,200,10
220,matcha tea macarons,Dessert,veg,180,3,22,8,25,100,20,100,8
222,chocolate fudge cookies,Dessert,veg,200,3,28,12,30,200,50,200,15
223,veg summer rolls,Thai,veg,150,4,20,2,3,100,0,150,1
224,eggless vanilla cake,Dessert,veg,250,3,35,12,30,150,0,100,10
225,sweet potato pie,Dessert,veg,280,4,40,12,25,150,30,300,8
226,wok tossed asparagus in mild garlic sauce,Healthy Food,veg,180,4,15,8,3,150,0,150,1
227,cinnamon oatmeal pancakes,Healthy Food,veg,220,6,35,10,15,200,30,200,5
228,chocolate chip cheesecake,Dessert,veg,300,6,40,15,30,200,80,150,15
229,chocolate lava cake,Dessert,veg,320,5,45,15,25,50,40,150,8
230,eggless coffee cupcakes,Dessert,veg,200,3,30,10,25,150,0,100,10
231,chicken in white wine,Italian,non-veg,300,28,10,15,3,450,80,300,5
232,apple and walnut cake,Dessert,veg,250,6,35,12,25,150,40,200,10
233,gluten free almond cake,Healthy Food,veg,220,5,30,12,25,150,0,150,8
234,cinnamon star cookies,Dessert,veg,200,3,28,10,20,150,20,100,8
235,whole wheat cake,Healthy Food,veg,250,6,35,12,25,150,40,150,8
236,plum cake,Dessert,veg,280,5,40,12,30,150,40,200,10
237,double chocolate easter cookies,Dessert,veg,220,4,30,12,30,200,50,200,15
238,holi special malai kofta,Indian,veg,300,10,30,15,5,600,80,250,15
239,homemade gulab jamun,Dessert,veg,250,5,35,12,35,50,30,100,8
240,lamb rogan josh,French,non-veg,350,28,25,20,5,750,120,350,15
241,fish curry,Thai,non-veg,300,25,20,15,5,600,50,300,5
242,rice kheer,Indian,veg,220,6,35,10,25,100,20,200,8
243,assorted rice kheer sushi,Japanese,veg,250,5,35,12,25,100,20,200,8
244,jalebi with fennel yogurt pudding,Dessert,veg,280,4,40,10,30,100,20,150,8
245,broccoli souffle,Italian,veg,180,6,20,8,5,300,30,250,5
246,christmas dry fruit cake,Dessert,veg,350,5,50,15,40,150,40,200,10
247,microwave chicken steak,Healthy Food,non-veg,300,28,20,18,3,450,80,300,5
248,cheese and ham roll,Snack,veg,250,12,30,15,5,450,60,200,10
249,vegetable manchurian,Chinese,veg,200,6,25,10,8,750,0,250,5
250,jerk chicken,Indian,non-veg,280,28,15,15,5,600,80,300,5
251,lemon poppy seed cake ,Dessert,veg,280,5,40,12,30,150,40,150,10
252,steam bunny chicken bao ,Japanese,non-veg,260,15,30,10,5,450,50,200,5
253,double chocolate easter cookies ,Dessert,veg,220,4,30,12,30,200,50,200,15
254,orange quinoa sevaiyan,Healthy Food,veg,200,6,28,8,15,100,0,200,3
255,spicy creamy kadai chicken,Indian,non-veg,320,28,20,18,5,750,110,300,15
256,apple kheer,Dessert,veg,220,6,35,10,25,100,20,200,8
257,ragi oats ladoo (laddu),Dessert,veg,180,5,25,8,20,50,0,200,5
258,lamb korma,Indian,non-veg,350,28,25,20,5,750,120,350,15
259,ragi coconut ladoo (laddu),Dessert,veg,180,5,25,8,20,50,0,200,5
260,quick chicken curry,Indian,non-veg,300,28,15,15,5,600,80,300,10
261,chicken shaami kebab,Indian,non-veg,280,25,10,15,3,450,60,250,5
262,chicken masala,Indian,non-veg,300,28,12,18,5,750,80,300,10
263,holi special bhang pakode,Indian,veg,220,6,25,12,3,300,0,150,5
264,kuttu atta pizza,Italian,veg,250,10,30,15,10,750,0,250,5
265,arbi kofta with mint yogurt dip,Snack,veg,220,6,28,10,3,300,0,200,3
266,puffed rice squares,Snack,veg,180,4,25,5,10,200,0,100,1
267,red velvet banana pudding,Dessert,veg,220,5,30,12,30,200,60,250,10
268,baked wild berry cheesecake,Dessert,veg,300,6,35,15,30,200,80,150,15
269,spiced orange valencia cake,Dessert,veg,220,4,30,10,30,150,40,150,10
270,jalapeno cheese fingers,Mexican,veg,200,6,25,12,3,450,60,200,10
271,californian breakfast benedict,Snack,veg,350,18,30,20,5,600,250,250,10
272,chocolate marquise,Dessert,veg,250,4,28,12,30,50,50,150,15
273,corn & jalapeno poppers,Mexican,veg,180,5,20,10,3,450,20,200,5
274,banana phirni tartlets with fresh strawberries,Snack,veg,220,5,30,12,25,100,20,200,8
275,mexican pizza,Mexican,veg,330,18,35,15,10,750,60,250,10
276,apple and pear cake,Healthy Food,veg,250,6,35,12,25,150,40,200,10
277,microwave chocolate cake,Dessert,veg,220,4,28,10,25,150,40,150,10
278,white chocolate and lemon pastry,Dessert,veg,250,5,30,12,25,150,30,150,10
279,mixed beans salad,Healthy Food,veg,180,8,20,5,5,200,0,250,1
280,baked raw banana samosa,Snack,veg,200,5,28,10,3,300,0,200,3
281,coconut mango oatmeal with cinnamon hint,Healthy Food,veg,220,6,32,8,15,100,0,200,3
282,fruit cube salad,Healthy Food,veg,150,2,35,1,15,50,0,200,0.5
283,veg hakka noodles,Chinese,veg,250,6,40,10,5,750,0,200,5
284,strawberry quinoa pancakes,Healthy Food,veg,200,6,28,8,15,200,0,200,3
285,spinach & banana pancakes,Healthy Food,veg,180,5,25,6,15,200,30,250,5
286,french onion grilled cheese,French,veg,280,12,30,18,5,600,60,200,10
287,pasta in cheese sauce,Italian,veg,300,10,35,15,5,450,60,200,10
288,deviled scotch egg,French,non-veg,250,15,10,18,3,300,250,150,8
289,amritsari fish,Indian,non-veg,280,25,12,15,3,600,50,300,5
290,butter chicken,Indian,non-veg,320,28,20,18,5,750,110,300,15
291,chicken razala,Indian,non-veg,300,28,18,15,5,750,110,300,15
292,chicken tikka,Indian,non-veg,280,25,12,15,3,600,80,300,5
293,chicken tikka masala,Indian,non-veg,300,28,20,18,5,750,110,300,15
294,mushroom matar,Indian,veg,220,8,25,12,3,450,0,250,3
295,tandoori chicken,Indian,non-veg,280,28,12,15,3,600,80,300,5
296,tandoori fish tikka,Indian,non-veg,260,25,10,12,3,600,50,300,5
297,chettinadu chicken,Indian,non-veg,300,28,20,18,5,750,80,300,10
298,chicken 65,Chinese,non-veg,280,25,15,15,5,750,80,300,10
299,kolim / jawla,Indian,veg,250,20,12,12,3,600,75,300,5
300,black rice,Healthy Food,veg,220,6,40,8,1,5,0,100,0
301,brown rice,Healthy Food,veg,200,5,38,6,1,5,0,100,0
302,koldil chicken,Chinese,non-veg,280,25,12,15,5,600,80,300,10
303,red rice,Healthy Food,veg,200,5,38,6,1,5,0,100,0
304,rice,Indian,veg,180,4,40,1,0,5,0,50,0
305,sunga pork,Japanese,veg,350,28,15,20,3,450,120,300,15
306,banana chips,Snack,veg,150,1,30,8,15,150,0,200,5
308,flattened rice / poha,Indian,veg,180,5,35,2,3,200,0,150,2
309,Miso-Butter Roast Chicken With Acorn Squash Panzanella,Japanese,non-veg,320,28,20,18,8,600,80,400,10
310,Honeydew Salad with Ginger Dressing and Peanuts,Healthy Food,veg,150,5,22,8,15,100,0,300,3
311,Kimchi and Miso Noodle Soup,Korean,veg,200,6,30,5,5,900,10,350,2
312,Spicy Korean Steak,Korean,non-veg,350,30,15,20,5,750,120,300,15
313,French Spiced Bread,French,veg,250,6,40,10,15,300,20,150,3
314,Quinoa Bowl and Berries,Healthy Food,veg,220,6,32,8,15,50,0,250,1
315,Shawarma-Spiced Braised Leg of Lamb,Indian,non-veg,350,28,25,20,5,750,120,350,15
316,Roast Pork Tenderloin with Carrot Romesco, Korean,non-veg,320,28,22,18,5,450,80,300,8
318,Crispy Pakora,Indian,veg,200,5,28,12,3,300,0,150,5
319,Lamb Tikka,Indian,non-veg,320,28,20,18,3,600,110,350,10
320,Grilled Sweet Prawn,Chinese,non-veg,280,25,10,15,3,450,75,300,5
321,Pho Tai rare beef,Vietnames,non-veg,350,28,40,18,5,900,80,300,5
322,Summer Rolls,Vietnames,non-veg,150,4,25,2,3,150,10,150,1
323,Spice Chicken Baugette,Vietnames,non-veg,320,25,35,15,5,600,80,250,8
324,Bean Curd Rolls,Vietnames,veg,180,6,28,8,3,300,0,200,3
325,Pho Chay Soup,Vietnames,veg,120,5,20,2,5,600,0,250,3
326,Pho Ga Chicken,Vietnames,non-veg,280,28,20,15,5,750,80,300,5
327,Chicken Sweet Corn Soup,Chinese,non-veg,200,15,15,10,5,450,50,200,3
328,Thai Spareribs,Thai,non-veg,350,28,25,20,8,750,120,300,15
329,Frenched Green Beans,French,veg,100,3,15,1,3,200,0,150,2
330,Lemony Crab Salad with Baby Greens,Healthy Food,non-veg,250,20,15,12,5,300,75,200,2
332,Biryani,Indian,non-veg,350,25,40,18,3,750,80,300,8
333,Tandoori Chicken,Indian,non-veg,280,28,12,15,3,600,80,300,5
334,Shrimp Olivier,French,non-veg,300,25,20,15,5,450,75,250,5
335,Potato Casserole,Italian,veg,250,6,30,12,5,450,60,400,8
336,Thyme-Roasted Sweet Potatoes,Healthy Food,veg,200,3,35,2,8,100,0,350,2
337,Noodle Curry,Vietnames,non-veg,280,8,40,10,8,750,80,300,10
339,Sukuti Chatpate,Nepalese,non-veg,220,8,28,10,3,450,80,250,8
340,Cheese Naan,Indian,veg,250,8,30,12,3,300,30,100,5
341,Mushroom Rice,Nepalese,veg,220,6,32,8,3,200,0,150,2
342,Bringle Alo,Nepalese,veg,200,5,30,6,3,300,0,250,3
343,Mutar Paneer,Indian,veg,250,10,28,15,5,450,30,250,8
344,Cucumber and Radish Salad,Healthy Food,veg,120,2,20,1,3,100,0,150,1
345,Channa Masala,Indian,veg,250,10,35,12,3,450,0,250,3
346,Saag Alo ,Nepalese,veg,220,6,30,10,3,450,0,300,3
347,Alo Tama Bodi,Nepalese,veg,240,6,32,12,3,300,0,250,2
348,Tarka Daal,Nepalese,veg,220,8,30,10,3,300,0,200,2
349,Jeera Alu,Nepalese,veg,200,5,28,8,3,300,0,250,3
350,Nepali Chicken Curry,Nepalese,non-veg,300,28,18,15,5,750,80,300,10
351,Lamb Shashlik,Indian,non-veg,350,28,25,20,3,600,110,350,10
352,Hyakula,Nepalese,non-veg,250,8,30,12,5,600,120,300,15
353,Alo Achar,Nepalese,veg,200,5,28,8,5,300,0,200,2
354,Chicken Momo,Nepalese,non-veg,280,25,20,15,3,450,60,250,5
355,Black-Bean Burgers,Chinese,veg,250,15,30,12,5,300,0,250,2
356,Parmesan Toasts,Italian,veg,220,6,28,12,3,200,20,100,3
357,Rice with Soy-Glazed Bonito Flakes and Sesame Seeds,Japanese,non-veg,250,12,35,10,3,450,15,200,2
358,Shirazi Salad,Healthy Food,veg,120,3,20,1,3,100,0,150,1
359,Sesame Noodles with Chili Oil and Scallions,Chinese,veg,280,8,40,12,5,750,0,200,5
360,Thai Green Curry ,Thai,veg,300,15,25,18,8,750,10,300,10
361,Ground Pork Menudo,Spanish,non-veg,320,28,22,18,8,600,120,300,15
362,Bao Bun ,Chinese,non-veg,180,6,30,5,3,300,10,100,2
363,Garlic Naan,Indian,veg,250,8,30,12,3,300,10,100,3
364,Egg Curry with Tomatoes and Cilantro,Indian,non-veg,220,12,15,10,5,600,180,250,8
365,Kimchi Bokumbab,Korean,non-veg,200,6,28,8,5,900,80,350,8
366,Korean fried Chicken,Korean,non-veg,320,28,20,18,5,900,80,250,10
367,Prawn kastu Curry,Japanese,non-veg,300,25,20,15,8,750,75,300,10
368,Beef Bibimbab,Korean,non-veg,350,30,35,20,8,750,120,300,10
369,Sweet and Sour Chicken Fried Rice,Chinese,non-veg,320,25,35,18,15,750,80,250,8
370,Sea Food Soup,Chinese,non-veg,200,15,15,10,5,600,75,250,5
371,Pad Thai,Thai,non-veg,280,15,40,12,15,900,20,250,5
372,Spicy Kimchi Tofu Stew,Korean,veg,200,12,28,10,5,900,0,350,2
373,Slow-Roasted Pork ,Korean,non-veg,350,28,25,20,5,450,120,300,15
374,Pico de Gallo Verde,Mexican,veg,80,1,15,0,3,150,0,150,1
375,Pineapple-Coconut Rice,Thai,veg,250,5,38,10,10,200,0,150,3
376,Lamb and Green Squash Dumplings,Chinese,non-veg,320,28,25,15,5,450,110,250,8
377,Crispy Tofu Balls,Japanese,veg,200,12,20,8,3,200,0,150,3
378,Grilled Chicken with Almond and Garlic Sauce,Healthy Food,non-veg,300,28,20,15,5,450,80,300,8
379,Parmesan Cauliflower and Parsley Salad,Italian,veg,180,6,15,8,5,300,20,200,3
380,Vietnamese Chicken Salad,Vietnames,non-veg,220,20,15,10,5,200,80,200,2
381,Eggplant and Beef Stir-Fry,Thai,non-veg,280,25,20,15,5,600,120,300,10
382,Stir-Fried Lettuces With Crispy Shallots,Chinese,non-veg,150,3,15,5,3,200,0,150,2
383,Chicken and Dumplings,Chinese,non-veg,300,28,25,15,5,450,80,250,8
384,Asian Salmon Bowl with Lime Drizzle,Thai,non-veg,320,28,20,15,5,450,75,300,5
385,Pasta with Garlic-Scape Pesto,Italian,veg,280,10,35,12,3,450,10,200,5
386,Pico de Gallo,Mexican,veg,80,1,15,0,3,150,0,150,1
387,Basmati Rice with Summer Vegetable Salad,Indian,veg,220,6,8,35,3,150,0,200,1
388,Fresh Corn Tortillas,Mexican,veg,150,3,30,3,1,100,0,50,0.5
389,Quinoa Tabbouleh,Healthy Food,veg,180,6,28,5,3,100,0,200,1
390,Grilled Clams With Herb Butter,French,non-veg,250,25,10,12,3,300,50,200,5
391,Rajas Poblanas,Mexican,veg,220,6,28,12,5,200,10,200,3
392,Braised Beef Short Ribs,Korean,non-veg,350,28,25,20,5,600,120,300,15
393,Fig and Sesame Tart with Cardamom Orange Cream,Dessert,non-veg,220,5,30,12,25,100,30,150,8
394,Rouille,French,veg,150,4,12,10,3,300,20,100,5
395,Kimchi Toast,Korean,veg,200,6,28,10,5,450,20,200,3
397,Melted Broccoli Pasta With Capers and Anchovies,French,non-veg,280,10,35,12,5,600,20,250,5
398,Lemon-Ginger Cake with Pistachios,Dessert,non-veg,220,4,30,10,25,150,40,150,10
399,Rosemary Roasted Vegetables,Healthy Food,veg,150,3,20,5,5,150,0,300,2
