rating_id,User_ID,Food_ID,Rating
1,1,88,4
2,1,46,3
3,1,24,5
4,1,25,4
5,2,49,1
6,2,33,8
7,2,106,9
8,2,71,8
9,3,73,9
10,3,110,10
11,3,168,1
12,3,201,8
13,3,209,6
14,3,46,2
15,3,65,3
16,3,292,8
17,3,299,1
18,4,14,5
19,4,141,5
20,4,170,1
21,4,212,10
22,4,128,6
23,4,21,1
24,5,52,9
25,5,64,2
26,5,198,10
27,5,241,9
28,5,8,6
29,5,27,6
30,6,22,5
31,6,185,7
32,6,207,2
33,6,213,6
34,7,131,5
35,7,109,10
36,7,116,8
37,7,220,3
38,7,21,9
39,7,31,10
40,8,101,8
41,8,138,9
42,8,140,4
43,8,201,3
44,8,242,3
45,8,224,9
46,8,128,4
47,8,163,5
48,9,15,1
49,9,60,5
50,9,91,5
51,9,2,3
52,9,180,2
53,9,182,4
54,9,184,6
55,9,244,3
56,10,70,5
57,10,44,10
58,10,227,2
59,10,100,4
60,10,250,2
61,11,35,4
62,11,154,3
63,11,258,10
64,11,200,10
65,11,274,2
66,11,48,5
67,12,38,4
68,12,169,4
69,13,74,8
70,13,127,10
71,14,17,3
72,14,51,9
73,14,87,8
74,14,134,7
75,14,267,5
76,14,272,1
77,15,29,7
78,15,116,6
79,15,130,5
80,15,149,1
81,15,43,3
82,15,214,7
83,15,238,6
84,15,29,9
85,16,243,3
86,16,10,4
87,16,270,3
88,16,282,10
89,16,291,1
90,17,23,4
91,17,58,7
92,17,114,1
93,17,8,5
94,17,251,5
95,17,278,8
96,17,7,4
97,18,18,5
98,18,133,8
99,18,153,7
100,18,37,2
101,18,31,7
102,18,17,6
103,19,9,9
104,19,11,4
105,19,211,1
106,19,249,10
107,19,84,10
108,20,46,6
109,20,261,8
110,21,13,9
111,21,42,9
112,21,126,1
113,21,230,3
114,21,185,2
115,21,280,5
116,22,165,2
117,22,2,5
118,22,127,6
119,22,53,3
120,22,275,4
121,23,26,6
122,23,223,5
123,24,23,2
124,24,193,8
125,24,51,5
126,25,55,5
127,25,63,9
128,25,57,10
129,25,178,3
130,25,287,3
131,26,15,9
132,26,104,6
133,26,55,5
134,26,45,5
135,27,161,2
136,27,213,3
137,27,273,10
138,27,207,4
139,27,86,4
140,27,54,1
141,27,279,9
142,28,54,7
143,28,162,9
144,28,50,10
145,28,5,10
146,29,34,5
147,29,200,9
148,29,281,1
149,29,300,9
150,30,53,6
151,30,304,1
152,31,80,1
153,31,129,5
154,31,150,9
155,31,188,10
156,31,74,5
157,31,232,8
158,31,240,3
159,31,230,8
160,31,264,6
161,31,285,9
162,32,32,4
163,32,39,7
164,32,71,1
165,32,94,10
166,32,127,9
167,32,91,2
168,32,244,8
169,32,263,1
170,32,143,1
171,32,290,7
172,32,309,5
173,33,166,4
174,33,248,10
175,34,163,6
176,34,65,4
177,34,12,2
178,35,28,5
179,35,147,3
180,35,68,3
181,35,15,1
182,36,25,8
183,36,45,6
184,36,96,7
185,36,155,10
186,36,49,2
187,36,212,3
188,36,16,7
189,36,23,1
190,36,184,10
191,36,19,5
192,37,98,6
193,37,191,1
194,37,218,7
195,37,283,3
196,38,42,7
197,38,160,2
198,38,130,3
199,38,243,4
200,38,186,8
201,39,2,10
202,39,28,2
203,39,30,6
204,39,86,4
205,39,175,5
206,39,195,4
207,39,256,5
208,39,50,7
209,39,5,10
210,40,111,2
211,41,4,6
212,41,100,3
213,41,51,3
214,41,259,2
215,42,84,2
216,42,196,9
217,42,284,4
218,42,294,4
219,42,296,10
220,43,34,8
221,43,6,10
222,43,72,5
223,43,85,10
224,43,174,6
225,43,213,8
226,43,32,6
227,43,11,4
228,44,245,10
229,44,295,10
230,45,47,2
231,45,57,3
232,45,10,6
233,45,108,3
234,45,181,3
235,45,208,5
236,45,236,2
237,46,102,6
238,46,59,3
239,46,136,10
240,46,236,4
241,46,68,4
242,46,184,7
243,47,19,1
244,47,62,8
245,47,225,3
246,47,199,2
247,47,49,10
248,48,7,5
249,48,58,1
250,48,119,8
251,48,172,8
252,48,85,3
253,48,9,3
254,49,1,5
255,49,21,3
256,49,77,10
257,49,139,10
258,49,171,8
259,49,205,3
260,49,44,3
261,49,276,10
262,49,6,6
263,50,19,9
264,50,81,8
265,50,95,2
266,50,57,7
267,50,158,6
268,50,167,2
269,50,225,3
270,51,136,6
271,51,151,10
272,51,53,4
273,52,44,10
274,52,187,8
275,52,69,6
276,52,254,2
277,52,268,3
278,52,211,1
279,53,128,2
280,53,189,7
281,53,190,10
282,53,226,8
283,53,22,3
284,54,65,7
285,54,109,10
286,54,113,6
287,54,146,4
288,54,25,3
289,54,204,2
290,54,100,1
291,54,259,9
292,54,255,1
293,54,301,1
294,55,52,5
295,55,90,2
296,55,121,3
297,55,117,7
298,55,163,2
299,55,13,1
300,55,288,3
301,56,289,9
302,56,298,4
303,56,305,9
304,57,33,3
305,57,78,8
306,57,75,7
307,57,164,6
308,57,67,1
309,57,271,1
310,58,137,1
311,58,84,10
312,59,43,7
313,59,43,3
314,59,99,9
315,59,145,3
316,59,171,10
317,59,239,10
318,59,270,5
319,60,107,1
320,60,221,7
321,60,144,2
322,61,177,6
323,61,45,3
324,61,22,3
325,62,58,4
326,62,59,8
327,62,9,7
328,62,74,7
329,62,108,4
330,62,118,7
331,62,124,7
332,62,157,2
333,62,183,1
334,62,265,4
335,62,215,10
336,63,17,6
337,63,61,10
338,63,136,9
339,63,186,8
340,63,7,9
341,63,269,3
342,64,18,5
343,64,23,2
344,64,303,6
345,65,48,7
346,65,165,5
347,66,92,7
348,66,192,7
349,67,146,7
350,67,156,2
351,67,203,10
352,67,16,9
353,67,252,4
354,67,47,4
355,68,22,10
356,68,76,4
357,68,47,5
358,68,142,6
359,68,179,5
360,68,186,10
361,68,199,8
362,68,219,9
363,69,46,9
364,69,126,4
365,69,23,10
366,69,25,10
367,70,7,8
368,70,16,2
369,70,68,4
370,70,83,9
371,70,122,3
372,70,262,5
373,70,18,7
374,70,56,5
375,70,277,7
376,71,50,4
377,71,1,10
378,71,137,1
379,71,206,5
380,71,7,8
381,71,53,3
382,71,307,1
383,72,221,6
384,72,222,1
385,73,56,1
386,73,135,7
387,73,234,2
388,73,5,7
389,74,56,3
390,74,132,6
391,74,44,6
392,75,37,2
393,75,12,3
394,76,115,5
395,76,23,1
396,76,216,5
397,77,3,1
398,77,20,4
399,77,6,6
400,77,123,10
401,77,204,9
402,77,228,4
403,77,163,2
404,78,32,10
405,78,246,9
406,78,21,4
407,78,302,5
408,79,36,6
409,79,173,3
410,79,163,4
411,79,15,8
412,80,66,5
413,80,103,9
414,80,112,4
415,80,49,8
416,80,56,7
417,80,21,10
418,80,257,5
419,80,49,9
420,80,306,8
421,81,197,5
422,81,63,3
423,81,65,3
424,81,286,6
425,82,8,10
426,82,12,4
427,82,16,4
428,82,27,4
429,82,229,5
430,82,235,7
431,82,257,2
432,82,87,7
433,83,41,5
434,83,79,1
435,84,18,10
436,84,253,8
437,85,47,9
438,85,202,3
439,85,238,7
440,86,24,1
441,86,159,2
442,86,224,5
443,86,237,4
444,86,31,6
445,86,260,7
446,87,29,1
447,87,200,2
448,87,137,4
449,88,5,3
450,88,10,6
451,88,210,2
452,88,48,9
453,89,120,6
454,89,143,4
455,89,148,7
456,89,163,5
457,89,3,7
458,90,4,6
459,90,75,6
460,90,126,10
461,91,176,5
462,91,163,1
463,91,231,5
464,91,247,5
465,92,6,1
466,92,53,5
467,92,105,9
468,92,62,6
469,92,64,3
470,93,18,9
471,93,125,10
472,93,130,5
473,93,266,10
474,94,117,4
475,94,5,2
476,94,48,3
477,94,243,5
478,94,255,8
479,95,67,1
480,95,228,3
481,95,28,10
482,95,297,5
483,96,89,8
484,96,97,7
485,96,222,6
486,96,51,10
487,96,271,7
488,96,293,5
489,97,20,1
490,97,31,3
491,97,46,7
492,97,144,6
493,97,64,4
494,97,215,9
495,97,308,3
496,98,35,4
497,98,40,10
498,98,5,7
499,98,82,2
500,98,47,2
501,98,194,2
502,98,217,3
503,99,49,3
504,99,69,8
505,99,93,7
506,99,152,2
507,99,65,7
508,99,22,1
509,100,24,10
510,100,233,10
511,100,29,7
